id,title,year,minutes,genres,average_rating,num_votes,time,length,known,genre_1,genre_2,genre_3
tt0105793,Wayne's World,1992,94,"Comedy,Music",7.0,148245,Middle,Normal,Known,Comedy,Music,Unknown
tt0105807,When the Party's Over,1992,114,"Comedy,Drama",4.9,1016,Middle,Normal,Unknown,Comedy,Drama,Unknown
tt0105810,Where the Day Takes You,1992,105,"Crime,Drama,Thriller",6.6,3301,Middle,Normal,Normal,Crime,Drama,Thriller
tt0105811,Whispers in the Dark,1992,103,"Drama,Mystery,Thriller",5.6,2118,Middle,Normal,Normal,Drama,Mystery,Thriller
tt0105812,White Men Can't Jump,1992,115,"Comedy,Drama,Sport",6.8,79571,Middle,Normal,Known,Comedy,Drama,Sport
tt0105813,White Sands,1992,101,"Action,Crime,Drama",6.0,7430,Middle,Normal,Normal,Action,Crime,Drama
tt0105819,Wild Orchid II: Two Shades of Blue,1991,111,"Drama,Romance",4.0,1608,Middle,Normal,Unknown,Drama,Romance,Unknown
tt0105824,Wind,1992,126,"Action,Drama,Sport",6.4,2647,Middle,Long,Normal,Action,Drama,Sport
tt0105839,Wong Fei Hung II: Nam yee tung chi keung,1992,113,"Action,Adventure,Biography",7.4,9352,Middle,Normal,Normal,Action,Adventure,Biography
tt0105851,Xia dao Gao Fei,1992,96,"Action,Crime,Thriller",7.1,4139,Middle,Normal,Normal,Action,Crime,Thriller
tt0105859,San lung moon hak chan,1992,88,"Action,Thriller",7.3,3995,Middle,Short,Normal,Action,Thriller,Unknown
tt0105871,Year of the Comet,1992,91,"Action,Adventure,Comedy",5.8,1568,Middle,Normal,Unknown,Action,Adventure,Comedy
tt0105884,Het zakmes,1991,90,"Drama,Family",6.8,1083,Middle,Short,Unknown,Drama,Family,Unknown
tt0105885,Zebrahead,1992,100,"Drama,Romance",6.3,1232,Middle,Normal,Unknown,Drama,Romance,Unknown
tt0105888,Zendegi va digar hich,1992,95,"Adventure,Drama",7.9,5186,Middle,Normal,Normal,Adventure,Drama,Unknown
tt0105916,Änglagård,1992,127,"Comedy,Drama",6.4,4481,Middle,Long,Normal,Comedy,Drama,Unknown
tt0106185,The Innocent,1993,119,Drama,5.6,1513,Middle,Normal,Unknown,Drama,Unknown,Unknown
tt0106204,Aankhen,1993,170,"Action,Comedy,Crime",6.7,1920,Middle,Long,Unknown,Action,Comedy,Crime
tt0106215,Acción mutante,1993,90,"Comedy,Fantasy,Sci-Fi",6.5,5056,Middle,Short,Normal,Comedy,Fantasy,Sci-Fi
tt0106218,Ad Fundum,1993,98,Drama,6.6,1268,Middle,Normal,Unknown,Drama,Unknown,Unknown
tt0106220,Addams Family Values,1993,94,"Comedy,Fantasy",6.8,84303,Middle,Normal,Known,Comedy,Fantasy,Unknown
tt0106223,The Adventures of Huck Finn,1993,108,"Adventure,Comedy,Drama",6.2,8136,Middle,Normal,Normal,Adventure,Comedy,Drama
tt0106226,The Age of Innocence,1993,139,"Drama,Romance",7.2,55796,Middle,Long,Known,Drama,Romance,Unknown
tt0106233,Airborne,1993,91,"Adventure,Comedy,Sport",6.3,6578,Middle,Normal,Normal,Adventure,Comedy,Sport
